Specimen ID,Site,Date,Total Length (cm),Standard Length (cm),Weight (g),Gonadal Weight (g),Catch Method,Column10,Column11,Notes,,Side Notes,,,,,,Extra Notes:
PLN-DGT-001,Dumaguete,6/16/19,12.3,11.9,12.36,,Fish Net (SCUBA),,,,,Fish caught by fisherman,,,,,,
PLN-DGT-002,Dumaguete,6/16/19,14.1,13.2,17.64,,Fish Net (SCUBA),,,,,"""…"" 6/17; by scuba (night dive) to find larger specimens",,,,,,** Note Anything Important/ Unusual **
PLN-DGT-003,Dumaguete,6/16/19,13.4,12.4,13.54,,Fish Net (SCUBA),,,,,,,,,,,FIND GLOVES. Bring something to clip the spines off of the fish before dissecting **
PLN-DGT-004,Dumaguete,6/16/19,12.5,11.7,11.19,,Fish Net (SCUBA),,,,,,,,,,,Fisherman- Corro 1500php 1st day (6/16)
PLN-DGT-005,Dumaguete,6/16/19,13.1,12.3,12.86,,Fish Net (SCUBA),,,,,,,,,,,Fisherman- Corro XXXXphp 2nd day (6/17)
PLN-DGT-006,Dumaguete,6/16/19,15.9,14.7,24.69,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-007,Dumaguete,6/16/19,9.8,9.1,5.11,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-008,Dumaguete,6/16/19,13.3,12.4,13.82,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-009,Dumaguete,6/16/19,16.1,15,26.75,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-010,Dumaguete,6/16/19,12,11,10.1,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-011,Dumaguete,6/16/19,12.5,11.8,11.48,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-012,Dumaguete,6/16/19,16.7,15.5,29.17,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-013,Dumaguete,6/16/19,15.6,14.4,24.5,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-014,Dumaguete,6/16/19,13.3,12.5,13.15,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-015,Dumaguete,6/16/19,10.1,9.4,5.62,,Fish Net (SCUBA),,,,,,,,,,,Many smaller juvelines found; LWR?
PLN-DGT-016,Dumaguete,6/16/19,9.7,8.9,5.22,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-017,Dumaguete,6/16/19,9.9,9.2,5.19,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-018,Dumaguete,6/16/19,10.3,9.5,6.18,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-019,Dumaguete,6/16/19,13.5,12.6,15.01,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-020,Dumaguete,6/16/19,13.2,12.2,12.83,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-021,Dumaguete,6/16/19,12.4,11.5,11.02,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-022,Dumaguete,6/16/19,12.9,12,12.12,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-023,Dumaguete,6/16/19,9.9,9.3,4.86,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-024,Dumaguete,6/16/19,13.9,13.1,15.6,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-025,Dumaguete,6/16/19,15.6,14.2,19.69,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-026,Dumaguete,6/16/19,13.5,12.5,14.93,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-027,Dumaguete,6/16/19,12.9,12,11.61,,Fish Net (SCUBA),,,Last one photographed (6/16/19),,,,,,,,
PLN-DGT-028,Dumaguete,6/16/19,9.8,9.1,5.31,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-029,Dumaguete,6/16/19,14.3,13.3,16.75,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-030,Dumaguete,6/16/19,13.2,12.3,13.64,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-031,Dumaguete,6/16/19,11.5,10.9,10.17,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-032,Dumaguete,6/16/19,13.8,13,14.76,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-033,Dumaguete,6/16/19,17.1,15.8,30.34,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-034,Dumaguete,6/16/19,14.6,13.6,18.87,,Fish Net (SCUBA),,,,,,,,,,,
PLN-DGT-035,Dumaguete,6/16/19,13,12.1,11.53,,Fish Net (SCUBA),,,,,,,,,,,
