Species,Sample ID,Total Weight (g),Standard Length (cm),Total Length (cm)
Sfu,1,95.04,15.7,18.7
Sfu,2,54.42,13.6,16.2
Sfu,3,73.3,14.8,17.5
Sfu,4,88.26,16.8,19
Sfu,5,65.92,14.4,17
Sfu,6,66.07,14.3,17.3
Sfu,7,81.09,15.2,18.6
Sfu,8,70.2,14.6,17.4
Sfu,9,79.6,15.5,18.7
Sfu,10,70.09,14.7,17.9
Sfu,11,94.43,15.9,19.4
Sfu,12,102.76,16.2,19.5
Sfu,13,101.25,16.1,19.5
Sfu,14,205.21,20.2,23.5
Sfu,15,97.89,15.8,18.9
Sfu,16,89.86,15.7,18.7
Sfu,17,82.47,15.3,18.5
Sfu,18,54.45,13.2,15.7
Sfu,19,88.89,15.4,18.4
Sfu,20,68.93,14.6,17.5
Sfu,21,83.6,15.8,19.5
Sfu,22,72.26,15.4,18.1
Sfu,23,87.67,15.6,18
Sfu,24,84.65,15.2,18.6
Sfu,25,73.29,14.6,17.9
Sfu,26,154.29,18.4,21.6
Sfu,27,103.4,16.4,19.7
Sfu,28,197.65,19.8,23.7
Sfu,29,97.12,16,19.5
Sfu,30,195.53,19,23.3
Sfu,31,252.43,20.2,24.2
Sfu,32,112.03,16.2,19.1
Sfu,33,90.99,15.2,18.2
Sfu,34,99.33,16.2,19.1
Sfu,35,20,0.5,0.5
Sfu,36,300,40,40
